drug1	drug2	strength	RR	severity	patients.fem.mal	description	color	onethousand	fdr
Insulin lispro	Esmolol	0.5	-1.96	Moderate	2 (1/1)		#9ABEDB	8.59475719810915	1
Insulin lispro	Doxycycline	0.326	-7.841	Moderate	5 (1/4)		#1E61A5	21.4868929952729	1
Insulin lispro	Tetracycline	0.067	Inf	Moderate	1 (1/0)		#B32020	4.29737859905458	1
Insulin lispro	Acetylsalicylic acid	0.926	-1.4	Moderate	12 (7/5)		#A9C9E1	51.5685431886549	0.925282570757837
Insulin lispro	Carvedilol	0.711	-1.568	Moderate	9 (5/4)		#A5C6DF	38.6764073914912	2.70056803092837e-05
Insulin lispro	Bismuth subsalicylate	0.067	Inf	Moderate	1 (1/0)	The salicylate increase the effect of insulin	#B32020	4.29737859905458	1
Insulin glargine	Metoprolol	0.924	-1.4	Moderate	12 (7/5)		#A9C9E1	51.5685431886549	0.0029849291629546
Insulin glargine	Propranolol	1	-5.881	Moderate	4 (1/3)		#316FAD	17.1895143962183	1
Insulin glargine	Labetalol	0.671	Inf	Moderate	6 (6/0)		#B32020	25.7842715943275	1
Insulin glargine	Tetracycline	0.067	Inf	Moderate	1 (1/0)		#B32020	4.29737859905458	1
Insulin glargine	Acetylsalicylic acid	0.692	-3.92	Moderate	6 (2/4)		#6697C4	25.7842715943275	1
Insulin glargine	Carvedilol	0.639	1.02	Moderate	6 (4/2)		#F9BCBC	25.7842715943275	0.00858365907124324
Insulin glargine	Bismuth subsalicylate	0.039	-1.96	Moderate	2 (1/1)	The salicylate increase the effect of insulin	#9ABEDB	8.59475719810915	1
Oxytocin	Phenylephrine	0.981	Inf	Moderate	277 (277/0)	Possible marked increase of arterial pressure	#B32020	1190.37387193812	8.76576502097058e-102
Oxytocin	Epinephrine	0.84	Inf	Moderate	74 (74/0)	Possible marked increase of arterial pressure	#B32020	318.006016330039	1
Folic acid	Butalbital	0.833	2.041	None	5 (4/1)	Folic acid decreases the effect of anticonvulsant	#EC9F9F	21.4868929952729	1
Fluvoxamine	Phentermine	0.032	Inf	Major	1 (1/0)	Risk of serotoninergic syndrome	#B32020	4.29737859905458	1
Amphetamine	Prochlorperazine	1	Inf	Moderate	1 (1/0)	Decreased anorexic effect, may increase pyschotic symptoms	#B32020	4.29737859905458	1
Amphetamine	Fluoxetine	0.673	1.19	Major	20 (14/6)	Risk of serotoninergic syndrome	#F7B7B7	85.9475719810915	1
Amphetamine	Paroxetine	0.271	-1.96	Major	4 (2/2)	Risk of serotoninergic syndrome	#9ABEDB	17.1895143962183	1
Lorazepam	Phenytoin	0.994	-2.94	Moderate	5 (2/3)	Possible increased levels of the hydantoin, decrease of benzodiazepine	#80ABCF	21.4868929952729	0.00488667411526575
Lorazepam	Clozapine	0.758	-1.96	Major	4 (2/2)	Increased risk of toxicity	#9ABEDB	17.1895143962183	0.410768123763418
Esmolol	Lidocaine	0.931	-2.483	Moderate	34 (15/19)	The beta-blocker increases the effect and toxicity of lidocaine	#8CB4D5	146.110872367856	1.68213621430802e-16
Esmolol	Indomethacin	0.5	Inf	Moderate	1 (1/0)	Risk of inhibition of renal prostaglandins	#B32020	4.29737859905458	1
Esmolol	Epinephrine	0.867	1.02	Moderate	18 (12/6)	Hypertension, then bradycardia	#F9BCBC	77.3528147829824	1.12336150872468e-06
