edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Female	Carbamazepine	0.0186671644577189	0.0560014933731566	0.0746686578308755	4
05-09	Female	Carbamazepine	0.0961230374879846	0.320410124959949	0.672861262415892	21
10-14	Female	Carbamazepine	0.0330578512396694	0.396694214876033	0.694214876033058	21
15-19	Female	Carbamazepine	0.244584206848358	0.43675751222921	0.506638714185884	29
20-24	Female	Carbamazepine	0.291187739463602	0.490421455938697	0.582375478927203	38
25-29	Female	Carbamazepine	0.600700817620557	0.934423494076423	1.06791256465877	64
30-34	Female	Carbamazepine	0.672947510094213	1.29542395693136	1.44683714670256	86
35-39	Female	Carbamazepine	1.13769449556634	1.62288773632257	1.80692655178183	108
40-44	Female	Carbamazepine	1.36349550666253	1.7353579175705	1.95227765726681	126
45-49	Female	Carbamazepine	1.25086865879083	1.86240444753301	2.07088255733148	149
50-54	Female	Carbamazepine	1.38983512740155	2.00299768360812	2.18013353317891	160
55-59	Female	Carbamazepine	1.08286252354049	1.58505963590709	1.7263025737602	110
60-64	Female	Carbamazepine	0.893814801573114	1.26921701823382	1.32284590632821	74
65-69	Female	Carbamazepine	1.03068072866731	1.58197507190796	1.67785234899329	70
70-74	Female	Carbamazepine	1.00813008130081	1.33333333333333	1.39837398373984	43
75-79	Female	Carbamazepine	0.602409638554217	0.903614457831325	1.11876075731497	26
80-84	Female	Carbamazepine	0.522875816993464	0.784313725490196	0.915032679738562	14
85-89	Female	Carbamazepine	0.72289156626506	1.08433734939759	1.20481927710843	10
>90	Female	Carbamazepine	0.29585798816568	0.29585798816568	0.29585798816568	1
