edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Female	Estradiol	0	0.0560014933731566	0.0560014933731566	3
05-09	Female	Estradiol	0	0	0	0
10-14	Female	Estradiol	0	0.727272727272727	0.727272727272727	22
15-19	Female	Estradiol	0.122292103424179	2.60307477288609	2.60307477288609	149
20-24	Female	Estradiol	0.0766283524904215	3.08045977011494	3.08045977011494	201
25-29	Female	Estradiol	0.10011680293676	2.65309527782413	2.65309527782413	159
30-34	Female	Estradiol	0	2.45625841184388	2.45625841184388	146
35-39	Female	Estradiol	0.0334616028107746	1.67308014053873	1.67308014053873	100
40-44	Female	Estradiol	0.154942671211652	1.27052990393554	1.27052990393554	82
45-49	Female	Estradiol	0.0416956219596942	0.347463516330785	0.347463516330785	25
50-54	Female	Estradiol	0	0.0953808420765772	0.0953808420765772	7
55-59	Female	Estradiol	0	0.0627746390458255	0.0627746390458255	4
60-64	Female	Estradiol	0	0	0	0
65-69	Female	Estradiol	0	0	0	0
70-74	Female	Estradiol	0	0	0	0
75-79	Female	Estradiol	0	0	0	0
80-84	Female	Estradiol	0	0	0	0
85-89	Female	Estradiol	0	0	0	0
>90	Female	Estradiol	0	0	0	0
