edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Female	Methotrimeprazine	0	0	0.0186671644577189	1
05-09	Female	Methotrimeprazine	0	0.0320410124959949	0.0320410124959949	1
10-14	Female	Methotrimeprazine	0	0.132231404958678	0.132231404958678	4
15-19	Female	Methotrimeprazine	0	0.122292103424179	0.157232704402516	9
20-24	Female	Methotrimeprazine	0	0.21455938697318	0.229885057471264	15
25-29	Female	Methotrimeprazine	0	0.367094944101452	0.367094944101452	22
30-34	Female	Methotrimeprazine	0	0.672947510094213	0.689771197846568	41
35-39	Female	Methotrimeprazine	0	0.836540070269366	0.903463275890915	54
40-44	Female	Methotrimeprazine	0	1.27052990393554	1.31701270529904	85
45-49	Female	Methotrimeprazine	0	1.25086865879083	1.30646282140375	94
50-54	Female	Methotrimeprazine	0	1.17182177408366	1.21269927783077	89
55-59	Female	Methotrimeprazine	0	1.09855618330195	1.12994350282486	72
60-64	Female	Methotrimeprazine	0	0.804433321415803	0.804433321415803	45
65-69	Female	Methotrimeprazine	0	0.767018216682646	0.790987535953979	33
70-74	Female	Methotrimeprazine	0	0.292682926829268	0.32520325203252	10
75-79	Female	Methotrimeprazine	0	0.344234079173838	0.344234079173838	8
80-84	Female	Methotrimeprazine	0	0.326797385620915	0.326797385620915	5
85-89	Female	Methotrimeprazine	0	1.32530120481928	1.32530120481928	11
>90	Female	Methotrimeprazine	0	1.4792899408284	1.4792899408284	5
