edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Female	Petrolatum	0	0.0746686578308755	0.0746686578308755	4
05-09	Female	Petrolatum	0	0.0640820249919897	0.0961230374879846	3
10-14	Female	Petrolatum	0	0	0	0
15-19	Female	Petrolatum	0	0	0	0
20-24	Female	Petrolatum	0	0.0613026819923372	0.0919540229885057	6
25-29	Female	Petrolatum	0	0	0.0333722676455865	2
30-34	Female	Petrolatum	0	0.0168236877523553	0.0504710632570659	3
35-39	Female	Petrolatum	0	0.050192404216162	0.050192404216162	3
40-44	Female	Petrolatum	0	0.0619770684846607	0.0774713356058258	5
45-49	Female	Petrolatum	0	0.0694927032661571	0.111188325225851	8
50-54	Female	Petrolatum	0	0.0953808420765772	0.0953808420765772	7
55-59	Female	Petrolatum	0	0.0941619585687382	0.0941619585687382	6
60-64	Female	Petrolatum	0	0.0893814801573114	0.0893814801573114	5
65-69	Female	Petrolatum	0	0.0958772770853308	0.0958772770853308	4
70-74	Female	Petrolatum	0	0.0650406504065041	0.0975609756097561	3
75-79	Female	Petrolatum	0	0.0430292598967298	0.0430292598967298	1
80-84	Female	Petrolatum	0	0.065359477124183	0.065359477124183	1
85-89	Female	Petrolatum	0	0	0	0
>90	Female	Petrolatum	0	0	0	0
