edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Codeine	0	0.254314259763851	0.254314259763851	14
05-09	Male	Codeine	0	0	0	0
10-14	Male	Codeine	0	0.192864030858245	0.192864030858245	6
15-19	Male	Codeine	0	1.8163213097979	1.8163213097979	71
20-24	Male	Codeine	0	3.41474445952058	3.41474445952058	151
25-29	Male	Codeine	0	5.13558915286777	5.13558915286777	214
30-34	Male	Codeine	0	5.81689428426909	5.81689428426909	230
35-39	Male	Codeine	0	6.98821594957523	6.98821594957523	255
40-44	Male	Codeine	0	7.4432832016314	7.4432832016314	292
45-49	Male	Codeine	0	8.75224416517056	8.75224416517056	390
50-54	Male	Codeine	0	7.67359575409111	7.67359575409111	347
55-59	Male	Codeine	0	7.89343857918106	7.89343857918106	320
60-64	Male	Codeine	0	7.6797385620915	7.6797385620915	282
65-69	Male	Codeine	0	7.24112961622013	7.20492396813903	199
70-74	Male	Codeine	0	5.91932949188057	5.91932949188057	113
75-79	Male	Codeine	0	7.47863247863248	7.47863247863248	105
80-84	Male	Codeine	0	7.79753761969904	7.79753761969904	57
85-89	Male	Codeine	0	4.6448087431694	4.6448087431694	17
>90	Male	Codeine	0	4.89510489510489	4.89510489510489	7
