edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Levodopa	0	0	0	0
05-09	Male	Levodopa	0	0	0	0
10-14	Male	Levodopa	0	0	0	0
15-19	Male	Levodopa	0	0	0	0
20-24	Male	Levodopa	0	0	0	0
25-29	Male	Levodopa	0	0.0239980801535877	0.0239980801535877	1
30-34	Male	Levodopa	0	0	0	0
35-39	Male	Levodopa	0	0.0822143052891203	0.0822143052891203	3
40-44	Male	Levodopa	0	0.0509813917919959	0.0509813917919959	2
45-49	Male	Levodopa	0	0.134649910233393	0.134649910233393	6
50-54	Male	Levodopa	0	0.154798761609907	0.154798761609907	7
55-59	Male	Levodopa	0.0246669955599408	0.29600394671929	0.29600394671929	12
60-64	Male	Levodopa	0.0272331154684096	0.462962962962963	0.462962962962963	17
65-69	Male	Levodopa	0	1.12237509051412	1.12237509051412	31
70-74	Male	Levodopa	0.0523834468308015	1.72865374541645	1.72865374541645	33
75-79	Male	Levodopa	0.0712250712250712	2.13675213675214	2.13675213675214	30
80-84	Male	Levodopa	0.136798905608755	3.28317373461012	3.28317373461012	24
85-89	Male	Levodopa	0	3.27868852459016	3.27868852459016	12
>90	Male	Levodopa	0	2.0979020979021	2.0979020979021	3
