edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Losartan	0	0.127157129881926	0.163487738419619	9
05-09	Male	Losartan	0	0.0288267512251369	0.0288267512251369	1
10-14	Male	Losartan	0	0.0642880102860816	0.0964320154291225	3
15-19	Male	Losartan	0	0.255819902788437	0.306983883346124	12
20-24	Male	Losartan	0.0226142017186793	0.452284034373587	0.633197648123021	28
25-29	Male	Losartan	0.0479961603071754	1.3678905687545	1.65586753059755	69
30-34	Male	Losartan	0.101163378856854	1.82094081942337	2.40263024785028	95
35-39	Male	Losartan	0.191833379007947	2.98711975883804	3.56261989586188	130
40-44	Male	Losartan	0.12745347947999	4.71577874075962	5.25108335457558	206
45-49	Male	Losartan	0.605924596050269	7.38330341113106	8.01166965888689	357
50-54	Male	Losartan	0.70765148164529	10.4820875718709	11.3887660327289	515
55-59	Male	Losartan	0.91267883571781	12.6295017266897	13.320177602368	540
60-64	Male	Losartan	1.30718954248366	15.6318082788671	16.3943355119826	602
65-69	Male	Losartan	1.62925416364953	18.5010861694424	19.1165821868211	528
70-74	Male	Losartan	1.93818753273965	17.5484546883185	18.0199057097957	344
75-79	Male	Losartan	1.85185185185185	17.3076923076923	17.8062678062678	250
80-84	Male	Losartan	2.46238030095759	16.0054719562244	16.4158686730506	120
85-89	Male	Losartan	2.45901639344262	16.120218579235	17.2131147540984	63
>90	Male	Losartan	2.7972027972028	15.3846153846154	16.0839160839161	23
