edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Female	Citicoline	0	0.0042	0.0042	3
05-09	Female	Citicoline	0	0.013	0.013	22
10-14	Female	Citicoline	0	0.0061	0.0069	17
15-19	Female	Citicoline	0	0.006	0.0077	23
20-24	Female	Citicoline	0	0.0061	0.0084	30
25-29	Female	Citicoline	0	0.01	0.0131	59
30-34	Female	Citicoline	0	0.0086	0.0099	54
35-39	Female	Citicoline	0	0.0156	0.0199	117
40-44	Female	Citicoline	0	0.019	0.0239	136
45-49	Female	Citicoline	0	0.0357	0.041	217
50-54	Female	Citicoline	0	0.0519	0.0576	290
55-59	Female	Citicoline	0	0.0983	0.1058	504
60-64	Female	Citicoline	0	0.1681	0.1787	820
65-69	Female	Citicoline	0	0.305	0.32	1348
70-74	Female	Citicoline	0	0.5281	0.547	2141
75-79	Female	Citicoline	0	1.0651	1.0992	3928
80-84	Female	Citicoline	0	1.6739	1.7245	5488
85-89	Female	Citicoline	0	2.0157	2.0604	5209
>90	Female	Citicoline	0	2.367	2.4282	3690
