edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Female	Codeine	0	3.8139	6.0724	4353
05-09	Female	Codeine	0	4.5576	7.1722	12133
10-14	Female	Codeine	0	4.6437	6.2839	15566
15-19	Female	Codeine	0	9.4973	10.9501	32795
20-24	Female	Codeine	0	9.0823	10.4051	37271
25-29	Female	Codeine	7e-04	8.677	9.936	44722
30-34	Female	Codeine	6e-04	9.0476	10.3788	56478
35-39	Female	Codeine	7e-04	9.8166	11.2146	65962
40-44	Female	Codeine	5e-04	10.0385	11.3609	64618
45-49	Female	Codeine	0.0013	10.0983	11.3678	60156
50-54	Female	Codeine	0.0016	10.2285	11.4078	57386
55-59	Female	Codeine	0.0017	10.6817	11.8181	56280
60-64	Female	Codeine	4e-04	11.2833	12.3989	56883
65-69	Female	Codeine	7e-04	11.0481	12.0449	50739
70-74	Female	Codeine	0	9.9599	10.8333	42399
75-79	Female	Codeine	6e-04	9.0464	9.7989	35016
80-84	Female	Codeine	6e-04	7.8169	8.4164	26784
85-89	Female	Codeine	0.0012	6.1722	6.5543	16570
>90	Female	Codeine	7e-04	5.6434	5.9053	8974
