edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Female	Ibuprofen	0.0544	49.1051	62.4761	44786
05-09	Female	Ibuprofen	0.0928	56.3071	74.6818	126337
10-14	Female	Ibuprofen	0.1138	49.1155	75.0523	185915
15-19	Female	Ibuprofen	0.2227	41.6992	55.8841	167370
20-24	Female	Ibuprofen	0.2429	35.623	45.6311	163451
25-29	Female	Ibuprofen	0.2984	33.7349	42.9238	193200
30-34	Female	Ibuprofen	0.4212	34.7151	43.6419	237485
35-39	Female	Ibuprofen	0.6527	36.5326	45.5592	267969
40-44	Female	Ibuprofen	0.9927	36.4006	45.368	258041
45-49	Female	Ibuprofen	1.6269	36.8122	45.2681	239549
50-54	Female	Ibuprofen	2.604	37.3829	44.9127	225930
55-59	Female	Ibuprofen	3.9952	36.854	43.1522	205498
60-64	Female	Ibuprofen	5.5511	36.3254	41.3027	189487
65-69	Female	Ibuprofen	6.73	35.1736	39.1219	164801
70-74	Female	Ibuprofen	7.0262	30.2889	33.2354	130076
75-79	Female	Ibuprofen	7.669	27.1785	29.4637	105288
80-84	Female	Ibuprofen	7.9894	23.576	25.3361	80628
85-89	Female	Ibuprofen	7.6685	19.0398	20.2292	51142
>90	Female	Ibuprofen	8.4993	18.0021	18.8865	28701
