edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Ambroxol	0	12.1378	18.8028	14509
05-09	Male	Ambroxol	0	6.9243	10.7117	19034
10-14	Male	Ambroxol	0	2.9936	4.2382	11121
15-19	Male	Ambroxol	0	2.8271	3.6366	10373
20-24	Male	Ambroxol	0	2.2995	2.9536	8854
25-29	Male	Ambroxol	0	2.1367	2.6689	9929
30-34	Male	Ambroxol	0	2.2582	2.7765	13151
35-39	Male	Ambroxol	0	2.1594	2.6458	14346
40-44	Male	Ambroxol	0	1.9632	2.3601	12641
45-49	Male	Ambroxol	0	1.8893	2.2385	10994
50-54	Male	Ambroxol	0	1.9452	2.2872	10394
55-59	Male	Ambroxol	0	2.1343	2.4642	10496
60-64	Male	Ambroxol	0	2.9136	3.287	13531
65-69	Male	Ambroxol	0	3.5171	3.8557	14561
70-74	Male	Ambroxol	0	3.6421	3.9846	13485
75-79	Male	Ambroxol	0	4.4041	4.7336	13489
80-84	Male	Ambroxol	0	4.3316	4.6204	10271
85-89	Male	Ambroxol	0	4.0878	4.2996	6354
>90	Male	Ambroxol	0	4.4569	4.6612	3171
