edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	NA	NA	0	0	0	0
05-09	NA	NA	0	0	0	0
10-14	NA	NA	0	0	0	0
15-19	NA	NA	0	0	0	0
20-24	NA	NA	0	0	0	0
25-29	Male	Carboplatin	0	0	3e-04	1
30-34	Male	Carboplatin	0	0	2e-04	1
35-39	Male	Carboplatin	0	0	2e-04	1
40-44	Male	Carboplatin	0	0	2e-04	1
45-49	Male	Carboplatin	0	2e-04	4e-04	2
50-54	Male	Carboplatin	0	7e-04	7e-04	3
55-59	Male	Carboplatin	0	7e-04	7e-04	3
60-64	Male	Carboplatin	0	0.0034	0.0034	14
65-69	Male	Carboplatin	0	0.0021	0.0021	8
70-74	Male	Carboplatin	0	0.0056	0.0056	19
75-79	Male	Carboplatin	0	0.0067	0.007	20
80-84	Male	Carboplatin	0	0.0085	0.0085	19
85-89	Male	Carboplatin	0	0.002	0.002	3
>90	NA	NA	0	0	0	0
