edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Chloroquine	0	0.0013	0.0026	2
05-09	Male	Chloroquine	0	0.0023	0.0039	7
10-14	Male	Chloroquine	0	0.0027	0.0038	10
15-19	Male	Chloroquine	0	0.0028	0.0042	12
20-24	Male	Chloroquine	0	0.007	0.0143	43
25-29	Male	Chloroquine	0	0.0134	0.0282	105
30-34	Male	Chloroquine	2e-04	0.0131	0.0266	126
35-39	Male	Chloroquine	0	0.0133	0.0225	122
40-44	Male	Chloroquine	0	0.014	0.02	107
45-49	Male	Chloroquine	0	0.0122	0.0183	90
50-54	Male	Chloroquine	0	0.0156	0.0202	92
55-59	Male	Chloroquine	0	0.0162	0.0195	83
60-64	Male	Chloroquine	2e-04	0.0175	0.0192	79
65-69	Male	Chloroquine	0	0.0154	0.0177	67
70-74	Male	Chloroquine	0	0.0133	0.0133	45
75-79	Male	Chloroquine	0	0.0088	0.0088	25
80-84	Male	Chloroquine	0	0.0094	0.0099	22
85-89	Male	Chloroquine	0	0.0074	0.0074	11
>90	Male	Chloroquine	0	0.0073	0.0088	6
