edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	NA	NA	0	0	0	0
05-09	NA	NA	0	0	0	0
10-14	NA	NA	0	0	0	0
15-19	NA	NA	0	0	0	0
20-24	NA	NA	0	0	0	0
25-29	NA	NA	0	0	0	0
30-34	NA	NA	0	0	0	0
35-39	NA	NA	0	0	0	0
40-44	Male	Lisuride	0	2e-04	4e-04	2
45-49	NA	NA	0	0	0	0
50-54	NA	NA	0	0	0	0
55-59	Male	Lisuride	0	2e-04	2e-04	1
60-64	NA	NA	0	0	0	0
65-69	Male	Lisuride	0	3e-04	3e-04	1
70-74	Male	Lisuride	0	3e-04	3e-04	1
75-79	Male	Lisuride	0	0.0011	0.0011	3
80-84	NA	NA	0	0	0	0
85-89	Male	Lisuride	0	7e-04	7e-04	1
>90	Male	Lisuride	0	0.0015	0.0015	1
