edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	NA	NA	0	0	0	0
05-09	NA	NA	0	0	0	0
10-14	Male	Nalmefene	0	4e-04	4e-04	1
15-19	Male	Nalmefene	0	0.0032	0.0039	11
20-24	Male	Nalmefene	0	0.007	0.009	27
25-29	Male	Nalmefene	0	0.0153	0.0202	75
30-34	Male	Nalmefene	0	0.0194	0.0249	118
35-39	Male	Nalmefene	0	0.0312	0.0385	209
40-44	Male	Nalmefene	0	0.0405	0.0459	246
45-49	Male	Nalmefene	0	0.0375	0.0442	217
50-54	Male	Nalmefene	0	0.0464	0.0508	231
55-59	Male	Nalmefene	0	0.0376	0.0411	175
60-64	Male	Nalmefene	0	0.0316	0.0338	139
65-69	Male	Nalmefene	0	0.0193	0.0209	79
70-74	Male	Nalmefene	0	0.013	0.0133	45
75-79	Male	Nalmefene	0	0.0049	0.0049	14
80-84	Male	Nalmefene	0	0.0036	0.0036	8
85-89	Male	Nalmefene	0	0.002	0.002	3
>90	NA	NA	0	0	0	0
