edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	NA	NA	0	0	0	0
05-09	NA	NA	0	0	0	0
10-14	NA	NA	0	0	0	0
15-19	NA	NA	0	0	0	0
20-24	NA	NA	0	0	0	0
25-29	Male	Naloxegol	0	0	3e-04	1
30-34	NA	NA	0	0	0	0
35-39	Male	Naloxegol	0	7e-04	7e-04	4
40-44	Male	Naloxegol	0	0.0011	0.0015	8
45-49	Male	Naloxegol	0	0.0024	0.0029	14
50-54	Male	Naloxegol	0	0.0013	0.0015	7
55-59	Male	Naloxegol	0	0.0047	0.0052	22
60-64	Male	Naloxegol	0	0.0044	0.0046	19
65-69	Male	Naloxegol	0	0.0056	0.0056	21
70-74	Male	Naloxegol	0	0.0068	0.0071	24
75-79	Male	Naloxegol	0	0.0091	0.0102	29
80-84	Male	Naloxegol	0	0.0103	0.0103	23
85-89	Male	Naloxegol	0	0.0088	0.0102	15
>90	Male	Naloxegol	0	0.0029	0.0029	2
