edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	NA	NA	0	0	0	0
05-09	NA	NA	0	0	0	0
10-14	NA	NA	0	0	0	0
15-19	Male	Piretanide	0	4e-04	4e-04	1
20-24	NA	NA	0	0	0	0
25-29	NA	NA	0	0	0	0
30-34	NA	NA	0	0	0	0
35-39	Male	Piretanide	0	2e-04	2e-04	1
40-44	Male	Piretanide	0	2e-04	2e-04	1
45-49	Male	Piretanide	0	4e-04	4e-04	2
50-54	Male	Piretanide	0	0.0013	0.0013	6
55-59	Male	Piretanide	0	0.0021	0.0021	9
60-64	Male	Piretanide	0	0.0034	0.0036	15
65-69	Male	Piretanide	0	0.0066	0.0066	25
70-74	Male	Piretanide	0	0.0065	0.0065	22
75-79	Male	Piretanide	0	0.0091	0.0091	26
80-84	Male	Piretanide	0	0.0139	0.0148	33
85-89	Male	Piretanide	0	0.0142	0.0149	22
>90	Male	Piretanide	0	0.0147	0.0147	10
