edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Female	Diltiazem	0	0	0	0
05-09	Female	Diltiazem	0	0	0	0
10-14	Female	Diltiazem	0	0.0122684333210649	0.0245368666421298	2
15-19	Female	Diltiazem	0	0.00960984047664809	0.00960984047664809	1
20-24	Female	Diltiazem	0.0150432493418578	0.0827378713802181	0.112824370063934	15
25-29	Female	Diltiazem	0.0389382828217276	0.110325134661561	0.142773703679668	22
30-34	Female	Diltiazem	0.0662592947066186	0.132518589413237	0.161967164838401	22
35-39	Female	Diltiazem	0.0935294617804609	0.280588385341383	0.331604455403452	39
40-44	Female	Diltiazem	0.184086725301698	0.40908161178155	0.562487216199632	55
45-49	Female	Diltiazem	0.292511700468019	0.633775351014041	0.799531981279251	82
50-54	Female	Diltiazem	0.489426539846708	0.951149690645489	1.12660448794903	122
55-59	Female	Diltiazem	0.603568929321204	1.11966410076977	1.32085374387684	151
60-64	Female	Diltiazem	1.10124005182306	1.83231538034425	2.1191930409032	229
65-69	Female	Diltiazem	1.40008960573477	2.52016129032258	2.84498207885305	254
70-74	Female	Diltiazem	2.6148969889065	3.8351822503962	4.31061806656101	272
75-79	Female	Diltiazem	3.26134861172323	4.67166152490084	5.15645658880564	234
80-84	Female	Diltiazem	3.6220947781467	5.76516752188349	6.33866586175672	210
85-89	Female	Diltiazem	4.55752212389381	6.23893805309735	6.90265486725664	156
>90	Female	Diltiazem	4.17789757412399	7.34501347708895	7.8167115902965	116
