edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Female	Felbamate	0	0	0	0
05-09	Female	Felbamate	0.0111172873818788	0.0111172873818788	0.0111172873818788	1
10-14	Female	Felbamate	0.0122684333210649	0.0122684333210649	0.0245368666421298	2
15-19	Female	Felbamate	0	0	0	0
20-24	Female	Felbamate	0	0.0225648740127868	0.0225648740127868	3
25-29	Female	Felbamate	0	0	0.00648971380362126	1
30-34	Female	Felbamate	0	0	0	0
35-39	Female	Felbamate	0	0.00850267834367826	0.00850267834367826	1
40-44	Female	Felbamate	0	0	0	0
45-49	Female	Felbamate	0	0.00975039001560062	0.00975039001560062	1
50-54	Female	Felbamate	0	0.00923446301597562	0.00923446301597562	1
55-59	Female	Felbamate	0	0	0	0
60-64	Female	Felbamate	0	0	0	0
65-69	Female	Felbamate	0	0	0	0
70-74	Female	Felbamate	0	0	0	0
75-79	Female	Felbamate	0	0	0	0
80-84	Female	Felbamate	0	0	0	0
85-89	Female	Felbamate	0	0	0	0
>90	Female	Felbamate	0	0	0	0
