edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Female	Insulin human	0	0.0135832654170062	0.0135832654170062	2
05-09	Female	Insulin human	0	0.0111172873818788	0.0222345747637576	2
10-14	Female	Insulin human	0	0.0613421666053245	0.0613421666053245	5
15-19	Female	Insulin human	0	0.115318085719777	0.115318085719777	12
20-24	Female	Insulin human	0	0.225648740127868	0.225648740127868	30
25-29	Female	Insulin human	0	0.168732558894153	0.194691414108638	30
30-34	Female	Insulin human	0	0.220864315688729	0.272399322682765	37
35-39	Female	Insulin human	0	0.518663378964374	0.527166057308052	62
40-44	Female	Insulin human	0	0.664757619145019	0.705665780323175	69
45-49	Female	Insulin human	0	0.672776911076443	0.721528861154446	74
50-54	Female	Insulin human	0	0.877273986517684	0.914211838581587	99
55-59	Female	Insulin human	0	0.839748075577327	0.927221833449965	106
60-64	Female	Insulin human	0	1.32333888580418	1.41588006662965	153
65-69	Female	Insulin human	0	1.63530465949821	1.7921146953405	160
70-74	Female	Insulin human	0	1.63232963549921	1.85419968304279	117
75-79	Female	Insulin human	0	1.43234905244601	1.63067430586161	74
80-84	Female	Insulin human	0	1.2073649260489	1.44883791125868	48
85-89	Female	Insulin human	0	1.32743362831858	1.32743362831858	30
>90	Female	Insulin human	0	0.606469002695418	0.673854447439353	10
