edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Female	Isoniazid	0	0.0135832654170062	0.0339581635425156	5
05-09	Female	Isoniazid	0.0111172873818788	0.0111172873818788	0.0111172873818788	1
10-14	Female	Isoniazid	0	0	0.0122684333210649	1
15-19	Female	Isoniazid	0	0.00960984047664809	0.00960984047664809	1
20-24	Female	Isoniazid	0	0.0225648740127868	0.0225648740127868	3
25-29	Female	Isoniazid	0	0.0194691414108638	0.0194691414108638	3
30-34	Female	Isoniazid	0.00736214385629095	0.0441728631377457	0.0441728631377457	6
35-39	Female	Isoniazid	0.00850267834367826	0.0510160700620696	0.0510160700620696	6
40-44	Female	Isoniazid	0.0102270402945388	0.040908161178155	0.040908161178155	4
45-49	Female	Isoniazid	0	0.0195007800312012	0.0195007800312012	2
50-54	Female	Isoniazid	0	0.0369378520639025	0.0369378520639025	4
55-59	Female	Isoniazid	0.00874737578726382	0.0262421273617915	0.0437368789363191	5
60-64	Female	Isoniazid	0	0.00925411808254673	0.0185082361650935	2
65-69	Female	Isoniazid	0.0112007168458781	0.0336021505376344	0.0336021505376344	3
70-74	Female	Isoniazid	0	0.0158478605388273	0.0158478605388273	1
75-79	Female	Isoniazid	0	0.0220361392684002	0.0220361392684002	1
80-84	Female	Isoniazid	0	0.0301841231512225	0.0301841231512225	1
85-89	Female	Isoniazid	0.0442477876106195	0.0442477876106195	0.0442477876106195	1
>90	Female	Isoniazid	0	0	0	0
