edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Female	Mannitol	0	0.237707144797609	0.237707144797609	35
05-09	Female	Mannitol	0	0.111172873818788	0.111172873818788	10
10-14	Female	Mannitol	0	0.0858790332474543	0.0858790332474543	7
15-19	Female	Mannitol	0	0.0288295214299443	0.0288295214299443	3
20-24	Female	Mannitol	0	0.0676946220383603	0.0676946220383603	9
25-29	Female	Mannitol	0	0.0519177104289701	0.0519177104289701	8
30-34	Female	Mannitol	0	0.139880733269528	0.139880733269528	19
35-39	Female	Mannitol	0	0.204064280248278	0.204064280248278	24
40-44	Female	Mannitol	0	0.194313765596236	0.194313765596236	19
45-49	Female	Mannitol	0	0.243759750390016	0.243759750390016	25
50-54	Female	Mannitol	0	0.258564964447317	0.258564964447317	28
55-59	Female	Mannitol	0	0.262421273617915	0.262421273617915	30
60-64	Female	Mannitol	0	0.379418841384416	0.379418841384416	41
65-69	Female	Mannitol	0	0.414426523297491	0.414426523297491	37
70-74	Female	Mannitol	0	0.301109350237718	0.301109350237718	19
75-79	Female	Mannitol	0	0.308505949757602	0.308505949757602	14
80-84	Female	Mannitol	0	0.12073649260489	0.12073649260489	4
85-89	Female	Mannitol	0	0	0	0
>90	Female	Mannitol	0	0	0	0
