edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Female	Pitavastatin	0	0	0	0
05-09	Female	Pitavastatin	0	0	0	0
10-14	Female	Pitavastatin	0	0	0	0
15-19	Female	Pitavastatin	0	0	0	0
20-24	Female	Pitavastatin	0	0	0	0
25-29	Female	Pitavastatin	0	0	0	0
30-34	Female	Pitavastatin	0	0.00736214385629095	0.00736214385629095	1
35-39	Female	Pitavastatin	0	0	0	0
40-44	Female	Pitavastatin	0	0.0204540805890775	0.0306811208836163	3
45-49	Female	Pitavastatin	0	0.0195007800312012	0.0390015600624025	4
50-54	Female	Pitavastatin	0	0.0461723150798781	0.0554067780958537	6
55-59	Female	Pitavastatin	0	0.0612316305108467	0.0699790062981106	8
60-64	Female	Pitavastatin	0	0.0462705904127337	0.101795298908014	11
65-69	Female	Pitavastatin	0	0.078405017921147	0.134408602150538	12
70-74	Female	Pitavastatin	0	0.158478605388273	0.1743264659271	11
75-79	Female	Pitavastatin	0	0.0661084178052005	0.132216835610401	6
80-84	Female	Pitavastatin	0	0.150920615756112	0.211288862058557	7
85-89	Female	Pitavastatin	0	0.0442477876106195	0.0442477876106195	1
>90	Female	Pitavastatin	0	0	0	0
