edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Female	Propranolol	0.0339581635425156	0.101874490627547	0.162999185004075	24
05-09	Female	Propranolol	0.0667037242912729	0.0778210116731518	0.111172873818788	10
10-14	Female	Propranolol	0.110415899889584	0.196294933137038	0.282173966384493	23
15-19	Female	Propranolol	0.20180665000961	0.45166250240246	0.586200269075533	61
20-24	Female	Propranolol	0.203083866115081	0.526513726965024	0.691989469725461	92
25-29	Female	Propranolol	0.317995976377442	0.661950807969369	0.908559932506976	140
30-34	Female	Propranolol	0.272399322682765	0.69940366634764	0.934992269748951	127
35-39	Female	Propranolol	0.44213927387127	0.943797296148287	1.13085621970921	133
40-44	Female	Propranolol	0.511352014726938	1.14542851298834	1.36019635917366	133
45-49	Female	Propranolol	0.536271450858034	1.12129485179407	1.36505460218409	140
50-54	Female	Propranolol	0.489426539846708	1.01579093175732	1.23741804414073	134
55-59	Female	Propranolol	0.524842547235829	1.05843247025892	1.31210636808957	150
60-64	Female	Propranolol	0.490468258374977	0.9901906348325	1.2678141773089	137
65-69	Female	Propranolol	0.392025089605735	0.929659498207885	1.23207885304659	110
70-74	Female	Propranolol	0.602218700475436	1.29952456418384	1.60063391442155	101
75-79	Female	Propranolol	0.528867342441604	1.18995152049361	1.38827677390921	63
80-84	Female	Propranolol	0.452761847268337	1.02626018714156	1.17718080289768	39
85-89	Female	Propranolol	0.309734513274336	0.79646017699115	0.84070796460177	19
>90	Female	Propranolol	0.336927223719677	0.539083557951483	0.606469002695418	9
