edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Female	Remifentanil	0	0.115457756044553	0.115457756044553	17
05-09	Female	Remifentanil	0	0.111172873818788	0.111172873818788	10
10-14	Female	Remifentanil	0	0.355784566310882	0.355784566310882	29
15-19	Female	Remifentanil	0	0.163367288103017	0.163367288103017	17
20-24	Female	Remifentanil	0	0.0150432493418578	0.0150432493418578	2
25-29	Female	Remifentanil	0	0.025958855214485	0.025958855214485	4
30-34	Female	Remifentanil	0	0.00736214385629095	0.00736214385629095	1
35-39	Female	Remifentanil	0	0	0	0
40-44	Female	Remifentanil	0	0.0306811208836163	0.0306811208836163	3
45-49	Female	Remifentanil	0	0	0	0
50-54	Female	Remifentanil	0	0.0277033890479269	0.0277033890479269	3
55-59	Female	Remifentanil	0	0.0174947515745276	0.0174947515745276	2
60-64	Female	Remifentanil	0	0.00925411808254673	0.00925411808254673	1
65-69	Female	Remifentanil	0	0.0224014336917563	0.0224014336917563	2
70-74	Female	Remifentanil	0	0	0	0
75-79	Female	Remifentanil	0	0	0	0
80-84	Female	Remifentanil	0	0	0	0
85-89	Female	Remifentanil	0	0	0	0
>90	Female	Remifentanil	0	0	0	0
