edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Female	Tafluprost	0	0	0	0
05-09	Female	Tafluprost	0	0	0	0
10-14	Female	Tafluprost	0	0	0	0
15-19	Female	Tafluprost	0	0	0	0
20-24	Female	Tafluprost	0	0	0	0
25-29	Female	Tafluprost	0	0	0	0
30-34	Female	Tafluprost	0	0	0	0
35-39	Female	Tafluprost	0	0	0	0
40-44	Female	Tafluprost	0	0	0	0
45-49	Female	Tafluprost	0	0	0.00975039001560062	1
50-54	Female	Tafluprost	0	0	0.00923446301597562	1
55-59	Female	Tafluprost	0	0	0.00874737578726382	1
60-64	Female	Tafluprost	0	0	0.00925411808254673	1
65-69	Female	Tafluprost	0	0	0.0448028673835125	4
70-74	Female	Tafluprost	0	0	0.063391442155309	4
75-79	Female	Tafluprost	0	0	0.110180696342001	5
80-84	Female	Tafluprost	0	0	0.0603682463024449	2
85-89	Female	Tafluprost	0	0	0.132743362831858	3
>90	Female	Tafluprost	0	0	0	0
