edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Female	Tetracaine	0	0	1.63678348274925	241
05-09	Female	Tetracaine	0	0	2.15675375208449	194
10-14	Female	Tetracaine	0	0	1.00601153232732	82
15-19	Female	Tetracaine	0	0	0.432442821449164	45
20-24	Female	Tetracaine	0	0	0.308386611508086	41
25-29	Female	Tetracaine	0	0.00648971380362126	0.415341683431761	64
30-34	Female	Tetracaine	0	0	0.360745048958257	49
35-39	Female	Tetracaine	0	0.0170053566873565	0.331604455403452	39
40-44	Female	Tetracaine	0	0.0204540805890775	0.347719370014318	34
45-49	Female	Tetracaine	0	0.00975039001560062	0.292511700468019	30
50-54	Female	Tetracaine	0	0	0.360144057623049	39
55-59	Female	Tetracaine	0	0	0.174947515745276	20
60-64	Female	Tetracaine	0	0	0.277623542476402	30
65-69	Female	Tetracaine	0	0	0.268817204301075	24
70-74	Female	Tetracaine	0	0	0.396196513470681	25
75-79	Female	Tetracaine	0	0.0440722785368004	0.528867342441604	24
80-84	Female	Tetracaine	0	0.0301841231512225	0.603682463024449	20
85-89	Female	Tetracaine	0	0	0.79646017699115	18
>90	Female	Tetracaine	0	0	1.34770889487871	20
