edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Female	Treprostinil	0	0	0	0
05-09	Female	Treprostinil	0	0	0	0
10-14	Female	Treprostinil	0	0	0	0
15-19	Female	Treprostinil	0	0	0	0
20-24	Female	Treprostinil	0	0.00752162467092892	0.00752162467092892	1
25-29	Female	Treprostinil	0	0.00648971380362126	0.00648971380362126	1
30-34	Female	Treprostinil	0	0	0	0
35-39	Female	Treprostinil	0	0.0170053566873565	0.0170053566873565	2
40-44	Female	Treprostinil	0	0.0102270402945388	0.0102270402945388	1
45-49	Female	Treprostinil	0	0.00975039001560062	0.00975039001560062	1
50-54	Female	Treprostinil	0	0.0184689260319512	0.0277033890479269	3
55-59	Female	Treprostinil	0	0.0262421273617915	0.0262421273617915	3
60-64	Female	Treprostinil	0	0.0185082361650935	0.0185082361650935	2
65-69	Female	Treprostinil	0	0.0448028673835125	0.0448028673835125	4
70-74	Female	Treprostinil	0	0.0158478605388273	0.0316957210776545	2
75-79	Female	Treprostinil	0	0	0.0220361392684002	1
80-84	Female	Treprostinil	0	0	0	0
85-89	Female	Treprostinil	0	0	0	0
>90	Female	Treprostinil	0	0	0.0673854447439353	1
