edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Female	Ursodeoxycholic acid	0	0.0679163270850312	0.0679163270850312	10
05-09	Female	Ursodeoxycholic acid	0.0111172873818788	0.0222345747637576	0.0333518621456365	3
10-14	Female	Ursodeoxycholic acid	0	0.0490737332842596	0.0613421666053245	5
15-19	Female	Ursodeoxycholic acid	0	0.0480492023832404	0.0480492023832404	5
20-24	Female	Ursodeoxycholic acid	0	0.105302745393005	0.112824370063934	15
25-29	Female	Ursodeoxycholic acid	0	0.10383542085794	0.123304562268804	19
30-34	Female	Ursodeoxycholic acid	0.00736214385629095	0.147242877125819	0.213502171832438	29
35-39	Female	Ursodeoxycholic acid	0	0.119037496811496	0.170053566873565	20
40-44	Female	Ursodeoxycholic acid	0.0204540805890775	0.194313765596236	0.224994886479853	22
45-49	Female	Ursodeoxycholic acid	0	0.078003120124805	0.126755070202808	13
50-54	Female	Ursodeoxycholic acid	0.00923446301597562	0.14775140825561	0.193923723335488	21
55-59	Female	Ursodeoxycholic acid	0	0.131210636808957	0.18369489153254	21
60-64	Female	Ursodeoxycholic acid	0	0.157320007403294	0.212844715898575	23
65-69	Female	Ursodeoxycholic acid	0.0112007168458781	0.145609318996416	0.190412186379928	17
70-74	Female	Ursodeoxycholic acid	0	0.110935023771791	0.158478605388273	10
75-79	Female	Ursodeoxycholic acid	0.0220361392684002	0.154252974878801	0.220361392684002	10
80-84	Female	Ursodeoxycholic acid	0	0.0905523694536674	0.12073649260489	4
85-89	Female	Ursodeoxycholic acid	0	0.265486725663717	0.265486725663717	6
>90	Female	Ursodeoxycholic acid	0	0.269541778975741	0.269541778975741	4
