edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Alendronic acid	0	0	0	0
05-09	Male	Alendronic acid	0	0	0	0
10-14	Male	Alendronic acid	0	0	0.0116945386504502	1
15-19	Male	Alendronic acid	0	0	0	0
20-24	Male	Alendronic acid	0	0.0292868648411188	0.0292868648411188	2
25-29	Male	Alendronic acid	0	0.025442055718102	0.038163083577153	3
30-34	Male	Alendronic acid	0	0.0392259414225941	0.0392259414225941	3
35-39	Male	Alendronic acid	0	0.0139958012596221	0.0139958012596221	1
40-44	Male	Alendronic acid	0	0.0148235991698784	0.0148235991698784	1
45-49	Male	Alendronic acid	0.0137760022041604	0.0688800110208018	0.0688800110208018	5
50-54	Male	Alendronic acid	0.0124177325220415	0.0869241276542903	0.136595057742456	11
55-59	Male	Alendronic acid	0	0.0789533047597564	0.112790435371081	10
60-64	Male	Alendronic acid	0.0243813239058881	0.158478605388273	0.268194562964769	22
65-69	Male	Alendronic acid	0.120228434024647	0.405770964833183	0.450856627592426	30
70-74	Male	Alendronic acid	0	0.491452991452991	0.747863247863248	35
75-79	Male	Alendronic acid	0.156592546194801	0.908236767929847	1.22142186031945	39
80-84	Male	Alendronic acid	0.0990589400693413	1.04011887072808	1.23823675086677	25
85-89	Male	Alendronic acid	0.40453074433657	0.809061488673139	1.21359223300971	15
>90	Male	Alendronic acid	0	0.325732899022801	0.325732899022801	2
