edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Benzylpenicillin	0.0059890998382943	0.059890998382943	0.0718691980595317	12
05-09	Male	Benzylpenicillin	0	0.140745953553835	0.140745953553835	14
10-14	Male	Benzylpenicillin	0	0.0584726932522512	0.0935563092036019	8
15-19	Male	Benzylpenicillin	0	0.097533788491013	0.125400585202731	9
20-24	Male	Benzylpenicillin	0	0.336798945672866	0.48323326987846	33
25-29	Male	Benzylpenicillin	0.012721027859051	0.534283170080142	0.686935504388755	54
30-34	Male	Benzylpenicillin	0	0.261506276150628	0.431485355648536	33
35-39	Male	Benzylpenicillin	0	0.251924422673198	0.335899230230931	24
40-44	Male	Benzylpenicillin	0	0.148235991698784	0.266824785057812	18
45-49	Male	Benzylpenicillin	0	0.165312026449924	0.192864030858245	14
50-54	Male	Benzylpenicillin	0.0124177325220415	0.111759592698373	0.124177325220415	10
55-59	Male	Benzylpenicillin	0	0.0451161741484322	0.0563952176855403	5
60-64	Male	Benzylpenicillin	0.012190661952944	0.0365719858588321	0.0731439717176643	6
65-69	Male	Benzylpenicillin	0	0	0	0
70-74	Male	Benzylpenicillin	0	0.0213675213675214	0.0213675213675214	1
75-79	Male	Benzylpenicillin	0	0	0	0
80-84	Male	Benzylpenicillin	0	0	0	0
85-89	Male	Benzylpenicillin	0	0	0	0
>90	Male	Benzylpenicillin	0	0	0	0
