edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Calcium	0	0.0059890998382943	0.0059890998382943	1
05-09	Male	Calcium	0	0.020106564793405	0.020106564793405	2
10-14	Male	Calcium	0	0.0350836159513507	0.0350836159513507	3
15-19	Male	Calcium	0.027866796711718	0.529469137522642	0.529469137522642	38
20-24	Male	Calcium	0.0292868648411188	0.424659540196222	0.424659540196222	29
25-29	Male	Calcium	0.038163083577153	0.610609337234449	0.610609337234449	48
30-34	Male	Calcium	0.0261506276150628	0.509937238493724	0.509937238493724	39
35-39	Male	Calcium	0.0839748075577327	0.909727081875437	0.909727081875437	65
40-44	Male	Calcium	0.0889415950192707	0.919063148532464	0.919063148532464	62
45-49	Male	Calcium	0.110208017633283	0.743904119024659	0.743904119024659	54
50-54	Male	Calcium	0.161430522786539	1.14243139202782	1.14243139202782	92
55-59	Male	Calcium	0.191743740130837	1.29709000676743	1.29709000676743	115
60-64	Male	Calcium	0.316957210776545	1.68231134950628	1.68231134950628	138
65-69	Male	Calcium	0.571085061617073	2.07394048692516	2.07394048692516	138
70-74	Male	Calcium	0.491452991452991	2.52136752136752	2.52136752136752	118
75-79	Male	Calcium	0.751644221735045	3.2258064516129	3.2258064516129	103
80-84	Male	Calcium	0.941059930658742	4.210004952947	4.210004952947	85
85-89	Male	Calcium	1.94174757281553	5.42071197411003	5.42071197411003	67
>90	Male	Calcium	0.977198697068404	5.70032573289902	5.70032573289902	35
