edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Cefixime	0	0.0658800982212373	0.0838473977361203	14
05-09	Male	Cefixime	0	0.020106564793405	0.020106564793405	2
10-14	Male	Cefixime	0	0.0116945386504502	0.0116945386504502	1
15-19	Male	Cefixime	0	0.013933398355859	0.013933398355859	1
20-24	Male	Cefixime	0	0.0585737296822375	0.0585737296822375	4
25-29	Male	Cefixime	0	0.025442055718102	0.025442055718102	2
30-34	Male	Cefixime	0	0	0	0
35-39	Male	Cefixime	0	0.0139958012596221	0.0139958012596221	1
40-44	Male	Cefixime	0	0.0148235991698784	0.0148235991698784	1
45-49	Male	Cefixime	0	0.0275520044083207	0.0275520044083207	2
50-54	Male	Cefixime	0	0.0124177325220415	0.0124177325220415	1
55-59	Male	Cefixime	0	0.0112790435371081	0.0112790435371081	1
60-64	Male	Cefixime	0	0.012190661952944	0.012190661952944	1
65-69	Male	Cefixime	0	0	0	0
70-74	Male	Cefixime	0	0	0	0
75-79	Male	Cefixime	0	0	0	0
80-84	Male	Cefixime	0	0	0	0
85-89	Male	Cefixime	0	0	0	0
>90	Male	Cefixime	0	0	0	0
