edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Clomipramine	0	0	0	0
05-09	Male	Clomipramine	0	0	0	0
10-14	Male	Clomipramine	0	0	0	0
15-19	Male	Clomipramine	0	0.013933398355859	0.013933398355859	1
20-24	Male	Clomipramine	0.0146434324205594	0.0292868648411188	0.0292868648411188	2
25-29	Male	Clomipramine	0	0	0	0
30-34	Male	Clomipramine	0	0.0392259414225941	0.0523012552301255	4
35-39	Male	Clomipramine	0	0.0279916025192442	0.0419874037788663	3
40-44	Male	Clomipramine	0	0.0296471983397569	0.0296471983397569	2
45-49	Male	Clomipramine	0	0	0.0137760022041604	1
50-54	Male	Clomipramine	0	0.0124177325220415	0.0124177325220415	1
55-59	Male	Clomipramine	0	0.0225580870742161	0.0225580870742161	2
60-64	Male	Clomipramine	0.012190661952944	0.0365719858588321	0.0365719858588321	3
65-69	Male	Clomipramine	0	0.0150285542530809	0.0150285542530809	1
70-74	Male	Clomipramine	0	0	0	0
75-79	Male	Clomipramine	0	0	0	0
80-84	Male	Clomipramine	0	0	0	0
85-89	Male	Clomipramine	0	0	0	0
>90	Male	Clomipramine	0	0	0	0
