edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Cysteine	0	0	0	0
05-09	Male	Cysteine	0	0.0100532823967025	0.0100532823967025	1
10-14	Male	Cysteine	0	0	0	0
15-19	Male	Cysteine	0	0	0	0
20-24	Male	Cysteine	0	0	0	0
25-29	Male	Cysteine	0	0.012721027859051	0.012721027859051	1
30-34	Male	Cysteine	0	0	0	0
35-39	Male	Cysteine	0	0	0	0
40-44	Male	Cysteine	0	0	0	0
45-49	Male	Cysteine	0	0.0137760022041604	0.0137760022041604	1
50-54	Male	Cysteine	0	0	0	0
55-59	Male	Cysteine	0	0	0	0
60-64	Male	Cysteine	0	0	0	0
65-69	Male	Cysteine	0	0	0	0
70-74	Male	Cysteine	0	0	0	0
75-79	Male	Cysteine	0	0	0	0
80-84	Male	Cysteine	0	0	0	0
85-89	Male	Cysteine	0	0	0	0
>90	Male	Cysteine	0	0	0	0
