edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Edoxaban	0	0	0	0
05-09	Male	Edoxaban	0	0	0	0
10-14	Male	Edoxaban	0	0	0	0
15-19	Male	Edoxaban	0	0	0	0
20-24	Male	Edoxaban	0	0	0	0
25-29	Male	Edoxaban	0	0	0	0
30-34	Male	Edoxaban	0	0	0	0
35-39	Male	Edoxaban	0	0	0	0
40-44	Male	Edoxaban	0	0	0	0
45-49	Male	Edoxaban	0	0	0.0137760022041604	1
50-54	Male	Edoxaban	0	0.0124177325220415	0.0124177325220415	1
55-59	Male	Edoxaban	0	0.0112790435371081	0.0112790435371081	1
60-64	Male	Edoxaban	0	0.012190661952944	0.012190661952944	1
65-69	Male	Edoxaban	0	0.0300571085061617	0.0450856627592426	3
70-74	Male	Edoxaban	0	0	0.0213675213675214	1
75-79	Male	Edoxaban	0	0.0626370184779205	0.0626370184779205	2
80-84	Male	Edoxaban	0	0	0	0
85-89	Male	Edoxaban	0	0.0809061488673139	0.0809061488673139	1
>90	Male	Edoxaban	0	0	0	0
