edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Ertapenem	0	0	0	0
05-09	Male	Ertapenem	0	0	0	0
10-14	Male	Ertapenem	0	0	0	0
15-19	Male	Ertapenem	0	0.013933398355859	0.013933398355859	1
20-24	Male	Ertapenem	0	0	0	0
25-29	Male	Ertapenem	0	0	0	0
30-34	Male	Ertapenem	0	0.0130753138075314	0.0130753138075314	1
35-39	Male	Ertapenem	0	0.0139958012596221	0.0139958012596221	1
40-44	Male	Ertapenem	0	0	0	0
45-49	Male	Ertapenem	0	0	0	0
50-54	Male	Ertapenem	0	0.0124177325220415	0.0124177325220415	1
55-59	Male	Ertapenem	0	0.0338371306113242	0.0338371306113242	3
60-64	Male	Ertapenem	0	0.0487626478117762	0.0487626478117762	4
65-69	Male	Ertapenem	0	0.0450856627592426	0.0450856627592426	3
70-74	Male	Ertapenem	0	0.0427350427350427	0.0427350427350427	2
75-79	Male	Ertapenem	0	0	0	0
80-84	Male	Ertapenem	0	0	0	0
85-89	Male	Ertapenem	0	0	0	0
>90	Male	Ertapenem	0	0.162866449511401	0.162866449511401	1
