edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Etoposide	0.0239563993531772	0.0419236988680601	0.0419236988680601	7
05-09	Male	Etoposide	0.020106564793405	0.0301598471901076	0.0402131295868101	4
10-14	Male	Etoposide	0.0116945386504502	0.0233890773009005	0.0233890773009005	2
15-19	Male	Etoposide	0.013933398355859	0.027866796711718	0.027866796711718	2
20-24	Male	Etoposide	0.0146434324205594	0.0732171621027969	0.0732171621027969	5
25-29	Male	Etoposide	0.012721027859051	0.038163083577153	0.038163083577153	3
30-34	Male	Etoposide	0.0261506276150628	0.130753138075314	0.130753138075314	10
35-39	Male	Etoposide	0	0.0699790062981106	0.0699790062981106	5
40-44	Male	Etoposide	0.0148235991698784	0.0296471983397569	0.0296471983397569	2
45-49	Male	Etoposide	0	0.0275520044083207	0.0275520044083207	2
50-54	Male	Etoposide	0	0.024835465044083	0.024835465044083	2
55-59	Male	Etoposide	0.0225580870742161	0.0676742612226483	0.0676742612226483	6
60-64	Male	Etoposide	0	0.0975252956235524	0.0975252956235524	8
65-69	Male	Etoposide	0.0150285542530809	0.18034265103697	0.195371205290051	13
70-74	Male	Etoposide	0	0.106837606837607	0.106837606837607	5
75-79	Male	Etoposide	0	0.187911055433761	0.187911055433761	6
80-84	Male	Etoposide	0	0.0495294700346706	0.0495294700346706	1
85-89	Male	Etoposide	0	0.0809061488673139	0.0809061488673139	1
>90	Male	Etoposide	0	0.162866449511401	0.162866449511401	1
