edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Felodipine	0	0	0	0
05-09	Male	Felodipine	0	0	0	0
10-14	Male	Felodipine	0	0	0	0
15-19	Male	Felodipine	0	0	0	0
20-24	Male	Felodipine	0	0	0	0
25-29	Male	Felodipine	0	0.012721027859051	0.012721027859051	1
30-34	Male	Felodipine	0	0.0130753138075314	0.0130753138075314	1
35-39	Male	Felodipine	0	0.0279916025192442	0.0279916025192442	2
40-44	Male	Felodipine	0	0.0444707975096353	0.0444707975096353	3
45-49	Male	Felodipine	0	0.0413280066124811	0.0551040088166414	4
50-54	Male	Felodipine	0	0.0620886626102074	0.0745063951322489	6
55-59	Male	Felodipine	0	0.180464696593729	0.203022783667945	18
60-64	Male	Felodipine	0	0.158478605388273	0.158478605388273	13
65-69	Male	Felodipine	0	0.150285542530809	0.165314096783889	11
70-74	Male	Felodipine	0	0.235042735042735	0.277777777777778	13
75-79	Male	Felodipine	0	0.281866583150642	0.313185092389602	10
80-84	Male	Felodipine	0	0.148588410104012	0.198117880138683	4
85-89	Male	Felodipine	0	0.242718446601942	0.242718446601942	3
>90	Male	Felodipine	0	0.162866449511401	0.162866449511401	1
