edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Fenofibrate	0	0	0	0
05-09	Male	Fenofibrate	0	0	0	0
10-14	Male	Fenofibrate	0	0	0	0
15-19	Male	Fenofibrate	0	0	0.013933398355859	1
20-24	Male	Fenofibrate	0	0.0292868648411188	0.0292868648411188	2
25-29	Male	Fenofibrate	0.025442055718102	0.0636051392952551	0.0890471950133571	7
30-34	Male	Fenofibrate	0.143828451882845	0.313807531380753	0.418410041841004	32
35-39	Male	Fenofibrate	0.209937018894332	0.391882435269419	0.545836249125262	39
40-44	Male	Fenofibrate	0.370589979246961	0.785650756003558	1.09694633857101	74
45-49	Male	Fenofibrate	0.537264085962254	1.04697616751619	1.3913762226202	101
50-54	Male	Fenofibrate	0.819570346454737	1.44045697255681	1.73848255308581	140
55-59	Male	Fenofibrate	1.00383487480262	1.83848409654861	2.0979020979021	186
60-64	Male	Fenofibrate	0.877727660611971	1.71888333536511	1.99926856028282	164
65-69	Male	Fenofibrate	0.766456266907124	1.57799819657349	1.77336940186354	118
70-74	Male	Fenofibrate	0.918803418803419	1.94444444444444	2.15811965811966	101
75-79	Male	Fenofibrate	0.908236767929847	1.31537738803633	1.53460695270905	49
80-84	Male	Fenofibrate	0.693412580485389	1.08964834076275	1.23823675086677	25
85-89	Male	Fenofibrate	0.566343042071197	0.970873786407767	1.05177993527508	13
>90	Male	Fenofibrate	0.162866449511401	0.162866449511401	0.162866449511401	1
