edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Flumazenil	0	0.0119781996765886	0.0119781996765886	2
05-09	Male	Flumazenil	0	0.0100532823967025	0.0100532823967025	1
10-14	Male	Flumazenil	0	0	0	0
15-19	Male	Flumazenil	0	0.041800195067577	0.041800195067577	3
20-24	Male	Flumazenil	0	0.0292868648411188	0.0292868648411188	2
25-29	Male	Flumazenil	0	0.038163083577153	0.038163083577153	3
30-34	Male	Flumazenil	0	0.0523012552301255	0.0523012552301255	4
35-39	Male	Flumazenil	0	0.0139958012596221	0.0139958012596221	1
40-44	Male	Flumazenil	0	0.0296471983397569	0.0296471983397569	2
45-49	Male	Flumazenil	0	0.0413280066124811	0.0413280066124811	3
50-54	Male	Flumazenil	0	0.111759592698373	0.111759592698373	9
55-59	Male	Flumazenil	0	0.101511391833972	0.101511391833972	9
60-64	Male	Flumazenil	0	0.0853346336706083	0.0853346336706083	7
65-69	Male	Flumazenil	0	0.135256988277728	0.135256988277728	9
70-74	Male	Flumazenil	0	0.106837606837607	0.106837606837607	5
75-79	Male	Flumazenil	0	0.219229564672722	0.219229564672722	7
80-84	Male	Flumazenil	0	0.0495294700346706	0.0495294700346706	1
85-89	Male	Flumazenil	0	0.242718446601942	0.242718446601942	3
>90	Male	Flumazenil	0	0	0	0
