edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Isosorbide dinitrate	0	0	0	0
05-09	Male	Isosorbide dinitrate	0	0	0	0
10-14	Male	Isosorbide dinitrate	0	0	0	0
15-19	Male	Isosorbide dinitrate	0	0.013933398355859	0.013933398355859	1
20-24	Male	Isosorbide dinitrate	0	0.0146434324205594	0.0146434324205594	1
25-29	Male	Isosorbide dinitrate	0	0.038163083577153	0.038163083577153	3
30-34	Male	Isosorbide dinitrate	0	0.0523012552301255	0.0653765690376569	5
35-39	Male	Isosorbide dinitrate	0	0.153953813855843	0.153953813855843	11
40-44	Male	Isosorbide dinitrate	0	0.19270678920842	0.19270678920842	13
45-49	Male	Isosorbide dinitrate	0	0.330624052899848	0.358176057308169	26
50-54	Male	Isosorbide dinitrate	0	0.5091270334037	0.521544765925742	42
55-59	Male	Isosorbide dinitrate	0.0112790435371081	0.394766523798782	0.394766523798782	35
60-64	Male	Isosorbide dinitrate	0	0.536389125929538	0.560770449835426	46
65-69	Male	Isosorbide dinitrate	0	0.52599939885783	0.601142170123234	40
70-74	Male	Isosorbide dinitrate	0	0.790598290598291	0.790598290598291	37
75-79	Male	Isosorbide dinitrate	0	0.876918258690886	0.970873786407767	31
80-84	Male	Isosorbide dinitrate	0	1.38682516097078	1.43635463100545	29
85-89	Male	Isosorbide dinitrate	0	1.37540453074434	1.45631067961165	18
>90	Male	Isosorbide dinitrate	0	0.977198697068404	0.977198697068404	6
