edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Magnesium	0	0	0	0
05-09	Male	Magnesium	0	0.0100532823967025	0.0100532823967025	1
10-14	Male	Magnesium	0	0	0	0
15-19	Male	Magnesium	0	0	0	0
20-24	Male	Magnesium	0	0	0	0
25-29	Male	Magnesium	0	0.050884111436204	0.050884111436204	4
30-34	Male	Magnesium	0	0.0523012552301255	0.0523012552301255	4
35-39	Male	Magnesium	0	0.0279916025192442	0.0279916025192442	2
40-44	Male	Magnesium	0	0.118588793359028	0.133412392528906	9
45-49	Male	Magnesium	0	0.179088028654085	0.192864030858245	14
50-54	Male	Magnesium	0	0.111759592698373	0.111759592698373	9
55-59	Male	Magnesium	0	0.236859914279269	0.270697044890593	24
60-64	Male	Magnesium	0	0.207241253200049	0.231622577105937	19
65-69	Male	Magnesium	0	0.18034265103697	0.210399759543132	14
70-74	Male	Magnesium	0	0.256410256410256	0.256410256410256	12
75-79	Male	Magnesium	0	0.0626370184779205	0.0626370184779205	2
80-84	Male	Magnesium	0	0.0990589400693413	0.0990589400693413	2
85-89	Male	Magnesium	0	0.0809061488673139	0.0809061488673139	1
>90	Male	Magnesium	0	0.162866449511401	0.162866449511401	1
