edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Metoprolol	0.0179672995148829	0.0299454991914715	0.0479127987063544	8
05-09	Male	Metoprolol	0.0301598471901076	0.0703729767769177	0.0904795415703227	9
10-14	Male	Metoprolol	0.0584726932522512	0.0935563092036019	0.152029002455853	13
15-19	Male	Metoprolol	0.264734568761321	0.376201755608193	0.431935349031629	31
20-24	Male	Metoprolol	0.322155513252306	0.70288475618685	0.863962512813003	59
25-29	Male	Metoprolol	0.826866810838316	1.39931306449561	1.73005978883094	136
30-34	Male	Metoprolol	0.954497907949791	1.77824267782427	2.07897489539749	159
35-39	Male	Metoprolol	1.72148355493352	3.33100069979006	3.8628411476557	276
40-44	Male	Metoprolol	2.56448265638897	5.32167210198636	5.89979246961162	398
45-49	Male	Metoprolol	3.9950406392065	7.28750516600083	8.07273729163797	586
50-54	Male	Metoprolol	5.21544765925742	10.3067179932944	11.2753011300137	908
55-59	Male	Metoprolol	6.23731107602075	12.418226934356	13.8393864200316	1227
60-64	Male	Metoprolol	8.14336218456662	15.2992807509448	17.201024015604	1411
65-69	Male	Metoprolol	8.31079050195371	17.2978659452961	19.6573489630298	1308
70-74	Male	Metoprolol	9.23076923076923	18.3760683760684	20.7264957264957	970
75-79	Male	Metoprolol	10.3037895396179	20.8268086439085	23.4262449107422	748
80-84	Male	Metoprolol	12.332838038633	23.1302625061912	26.0029717682021	525
85-89	Male	Metoprolol	12.2168284789644	23.1391585760518	25.7281553398058	318
>90	Male	Metoprolol	10.7491856677524	22.4755700325733	24.2671009771987	149
