edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Phenol	0	0	0.0239563993531772	4
05-09	Male	Phenol	0	0	0.0603196943802151	6
10-14	Male	Phenol	0	0.0116945386504502	0.128639925154953	11
15-19	Male	Phenol	0	0	0.167200780270308	12
20-24	Male	Phenol	0	0	0.248938351149509	17
25-29	Male	Phenol	0	0	0.190815417885765	15
30-34	Male	Phenol	0	0	0.183054393305439	14
35-39	Male	Phenol	0	0	0.153953813855843	11
40-44	Male	Phenol	0	0	0.118588793359028	8
45-49	Male	Phenol	0	0	0.137760022041604	10
50-54	Male	Phenol	0	0	0.136595057742456	11
55-59	Male	Phenol	0	0	0.0902323482968644	8
60-64	Male	Phenol	0	0	0.0853346336706083	7
65-69	Male	Phenol	0	0	0.0901713255184851	6
70-74	Male	Phenol	0	0	0.170940170940171	8
75-79	Male	Phenol	0	0	0.0313185092389602	1
80-84	Male	Phenol	0	0	0.148588410104012	3
85-89	Male	Phenol	0	0	0.161812297734628	2
>90	Male	Phenol	0	0	0.162866449511401	1
