edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Prasugrel	0	0	0	0
05-09	Male	Prasugrel	0	0	0	0
10-14	Male	Prasugrel	0	0	0	0
15-19	Male	Prasugrel	0	0	0	0
20-24	Male	Prasugrel	0	0	0	0
25-29	Male	Prasugrel	0	0	0	0
30-34	Male	Prasugrel	0	0.0261506276150628	0.0261506276150628	2
35-39	Male	Prasugrel	0	0.0279916025192442	0.0279916025192442	2
40-44	Male	Prasugrel	0	0.133412392528906	0.133412392528906	9
45-49	Male	Prasugrel	0	0.261744041879047	0.289296046287367	21
50-54	Male	Prasugrel	0	0.347696510617161	0.409785173227369	33
55-59	Male	Prasugrel	0	0.451161741484322	0.507556959169862	45
60-64	Male	Prasugrel	0	0.463245154211874	0.524198463976594	43
65-69	Male	Prasugrel	0	0.36068530207394	0.390742410580102	26
70-74	Male	Prasugrel	0	0.662393162393162	0.683760683760684	32
75-79	Male	Prasugrel	0	0.281866583150642	0.313185092389602	10
80-84	Male	Prasugrel	0	0.0990589400693413	0.0990589400693413	2
85-89	Male	Prasugrel	0	0	0	0
>90	Male	Prasugrel	0	0	0.162866449511401	1
