edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Thyroid, porcine	0	0	0	0
05-09	Male	Thyroid, porcine	0	0.0100532823967025	0.0100532823967025	1
10-14	Male	Thyroid, porcine	0	0	0	0
15-19	Male	Thyroid, porcine	0	0	0.013933398355859	1
20-24	Male	Thyroid, porcine	0	0	0	0
25-29	Male	Thyroid, porcine	0	0.012721027859051	0.012721027859051	1
30-34	Male	Thyroid, porcine	0	0.0261506276150628	0.0261506276150628	2
35-39	Male	Thyroid, porcine	0	0	0.0279916025192442	2
40-44	Male	Thyroid, porcine	0	0.0592943966795138	0.103765194189149	7
45-49	Male	Thyroid, porcine	0	0.0551040088166414	0.0826560132249621	6
50-54	Male	Thyroid, porcine	0	0.024835465044083	0.0620886626102074	5
55-59	Male	Thyroid, porcine	0	0.0902323482968644	0.112790435371081	10
60-64	Male	Thyroid, porcine	0	0.109715957576496	0.134097281482384	11
65-69	Male	Thyroid, porcine	0	0.120228434024647	0.18034265103697	12
70-74	Male	Thyroid, porcine	0	0.128205128205128	0.128205128205128	6
75-79	Male	Thyroid, porcine	0	0.125274036955841	0.125274036955841	4
80-84	Male	Thyroid, porcine	0	0.0495294700346706	0.0495294700346706	1
85-89	Male	Thyroid, porcine	0	0	0	0
>90	Male	Thyroid, porcine	0	0.162866449511401	0.162866449511401	1
