edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Trazodone	0	0.0179672995148829	0.0299454991914715	5
05-09	Male	Trazodone	0	0.241278777520861	0.271438624710968	27
10-14	Male	Trazodone	0	0.795228628230616	0.923868553385569	79
15-19	Male	Trazodone	0	1.1564720635363	1.49087362407691	107
20-24	Male	Trazodone	0.0146434324205594	1.52291697173818	1.85971591741104	127
25-29	Male	Trazodone	0	1.62829156595853	2.03536445744816	160
30-34	Male	Trazodone	0	1.55596234309623	1.93514644351464	148
35-39	Male	Trazodone	0.0419874037788663	1.8334499650105	2.26731980405878	162
40-44	Male	Trazodone	0.0296471983397569	2.41624666469019	2.74236584642751	185
45-49	Male	Trazodone	0.0826560132249621	2.90673646507783	3.37512054001929	245
50-54	Male	Trazodone	0.124177325220415	3.76257295417857	4.19719359245002	338
55-59	Male	Trazodone	0.157906609519513	4.1958041958042	4.59057071960298	407
60-64	Male	Trazodone	0.219431915152993	4.76654882360112	5.25417530171888	431
65-69	Male	Trazodone	0.300571085061617	4.61376615569582	5.13976555455365	342
70-74	Male	Trazodone	0.405982905982906	4.16666666666667	4.82905982905983	226
75-79	Male	Trazodone	0.751644221735045	5.10491700595052	5.73128719072972	183
80-84	Male	Trazodone	0.990589400693413	6.14165428429916	6.73600792471521	136
85-89	Male	Trazodone	0.809061488673139	7.60517799352751	8.49514563106796	105
>90	Male	Trazodone	1.62866449511401	8.95765472312704	9.28338762214984	57
