edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Vitamin A	0	0.0179672995148829	0.0718691980595317	12
05-09	Male	Vitamin A	0	0.0100532823967025	0.0100532823967025	1
10-14	Male	Vitamin A	0	0.0116945386504502	0.0116945386504502	1
15-19	Male	Vitamin A	0	0.055733593423436	0.069666991779295	5
20-24	Male	Vitamin A	0	0.0292868648411188	0.0439302972616781	3
25-29	Male	Vitamin A	0	0.12721027859051	0.12721027859051	10
30-34	Male	Vitamin A	0	0.0653765690376569	0.0653765690376569	5
35-39	Male	Vitamin A	0	0.0139958012596221	0.0139958012596221	1
40-44	Male	Vitamin A	0	0.0148235991698784	0.0148235991698784	1
45-49	Male	Vitamin A	0	0.0413280066124811	0.0413280066124811	3
50-54	Male	Vitamin A	0	0.024835465044083	0.024835465044083	2
55-59	Male	Vitamin A	0	0.0789533047597564	0.101511391833972	9
60-64	Male	Vitamin A	0	0.0609533097647202	0.0609533097647202	5
65-69	Male	Vitamin A	0	0.120228434024647	0.135256988277728	9
70-74	Male	Vitamin A	0	0.128205128205128	0.128205128205128	6
75-79	Male	Vitamin A	0	0.156592546194801	0.156592546194801	5
80-84	Male	Vitamin A	0	0.198117880138683	0.297176820208024	6
85-89	Male	Vitamin A	0	0.161812297734628	0.242718446601942	3
>90	Male	Vitamin A	0	0.162866449511401	0.162866449511401	1
