age_group	gender	name_i	name_j	patient
00-04	Female	Carbamazepine	Verapamil	0
05-09	Female	Carbamazepine	Verapamil	0
10-14	Female	Carbamazepine	Verapamil	0
15-19	Female	Carbamazepine	Verapamil	0
20-24	Female	Carbamazepine	Verapamil	0
25-29	Female	Carbamazepine	Verapamil	2.22172850477672e-06
30-34	Female	Carbamazepine	Verapamil	0
35-39	Female	Carbamazepine	Verapamil	5.10049678838719e-06
40-44	Female	Carbamazepine	Verapamil	8.79085329296574e-06
45-49	Female	Carbamazepine	Verapamil	9.44861653356715e-06
50-54	Female	Carbamazepine	Verapamil	5.96370489202712e-06
55-59	Female	Carbamazepine	Verapamil	1.46991812556041e-05
60-64	Female	Carbamazepine	Verapamil	1.0898564876977e-05
65-69	Female	Carbamazepine	Verapamil	2.13649851632047e-05
70-74	Female	Carbamazepine	Verapamil	2.81058209710306e-05
75-79	Female	Carbamazepine	Verapamil	3.07823186361754e-05
80-84	Female	Carbamazepine	Verapamil	5.34198105796364e-05
85-89	Female	Carbamazepine	Verapamil	2.37329567704192e-05
>90	Female	Carbamazepine	Verapamil	6.58041930431807e-06
