age_group	gender	name_i	name_j	patient
00-04	Female	Cyclosporine	Ketoprofen	0
05-09	Female	Cyclosporine	Ketoprofen	0
10-14	Female	Cyclosporine	Ketoprofen	0
15-19	Female	Cyclosporine	Ketoprofen	0
20-24	Female	Cyclosporine	Ketoprofen	0
25-29	Female	Cyclosporine	Ketoprofen	0
30-34	Female	Cyclosporine	Ketoprofen	0
35-39	Female	Cyclosporine	Ketoprofen	0
40-44	Female	Cyclosporine	Ketoprofen	0
45-49	Female	Cyclosporine	Ketoprofen	0
50-54	Female	Cyclosporine	Ketoprofen	0
55-59	Female	Cyclosporine	Ketoprofen	2.09988303651487e-06
60-64	Female	Cyclosporine	Ketoprofen	0
65-69	Female	Cyclosporine	Ketoprofen	0
70-74	Female	Cyclosporine	Ketoprofen	0
75-79	Female	Cyclosporine	Ketoprofen	2.79839260328867e-06
80-84	Female	Cyclosporine	Ketoprofen	0
85-89	Female	Cyclosporine	Ketoprofen	0
>90	Female	Cyclosporine	Ketoprofen	0
