age_group	gender	name_i	name_j	patient
00-04	Female	Diltiazem	Amiodarone	0
05-09	Female	Diltiazem	Amiodarone	0
10-14	Female	Diltiazem	Amiodarone	0
15-19	Female	Diltiazem	Amiodarone	0
20-24	Female	Diltiazem	Amiodarone	0
25-29	Female	Diltiazem	Amiodarone	2.22172850477672e-06
30-34	Female	Diltiazem	Amiodarone	1.8376711560973e-06
35-39	Female	Diltiazem	Amiodarone	5.10049678838719e-06
40-44	Female	Diltiazem	Amiodarone	8.79085329296574e-06
45-49	Female	Diltiazem	Amiodarone	1.88972330671343e-05
50-54	Female	Diltiazem	Amiodarone	3.77701309828384e-05
55-59	Female	Diltiazem	Amiodarone	8.39953214605946e-05
60-64	Female	Diltiazem	Amiodarone	0.000139501630425306
65-69	Female	Diltiazem	Amiodarone	0.000239762611275964
70-74	Female	Diltiazem	Amiodarone	0.000401146717495618
75-79	Female	Diltiazem	Amiodarone	0.000657622261772838
80-84	Female	Diltiazem	Amiodarone	0.000829578234883765
85-89	Female	Diltiazem	Amiodarone	0.00095327376361184
>90	Female	Diltiazem	Amiodarone	0.00078306989721385
