age_group	gender	name_i	name_j	patient
00-04	Female	Fluconazole	Everolimus	0
05-09	Female	Fluconazole	Everolimus	0
10-14	Female	Fluconazole	Everolimus	0
15-19	Female	Fluconazole	Everolimus	0
20-24	Female	Fluconazole	Everolimus	0
25-29	Female	Fluconazole	Everolimus	0
30-34	Female	Fluconazole	Everolimus	1.8376711560973e-06
35-39	Female	Fluconazole	Everolimus	0
40-44	Female	Fluconazole	Everolimus	0
45-49	Female	Fluconazole	Everolimus	0
50-54	Female	Fluconazole	Everolimus	1.98790163067571e-06
55-59	Female	Fluconazole	Everolimus	0
60-64	Female	Fluconazole	Everolimus	4.3594259507908e-06
65-69	Female	Fluconazole	Everolimus	2.37388724035608e-06
70-74	Female	Fluconazole	Everolimus	7.66522390119015e-06
75-79	Female	Fluconazole	Everolimus	0
80-84	Female	Fluconazole	Everolimus	3.14234179880214e-06
85-89	Female	Fluconazole	Everolimus	0
>90	Female	Fluconazole	Everolimus	0
