age_group	gender	name_i	name_j	patient
00-04	Female	Fluoxetine	Clarithromycin	0
05-09	Female	Fluoxetine	Clarithromycin	1.18226368026861e-05
10-14	Female	Fluoxetine	Clarithromycin	2.42214812243151e-05
15-19	Female	Fluoxetine	Clarithromycin	7.34569859263093e-05
20-24	Female	Fluoxetine	Clarithromycin	0.000106085689319684
25-29	Female	Fluoxetine	Clarithromycin	0.000159964452343924
30-34	Female	Fluoxetine	Clarithromycin	0.000198468484858508
35-39	Female	Fluoxetine	Clarithromycin	0.000375736596744523
40-44	Female	Fluoxetine	Clarithromycin	0.000504594979016233
45-49	Female	Fluoxetine	Clarithromycin	0.000570696438627456
50-54	Female	Fluoxetine	Clarithromycin	0.000727571996827309
55-59	Female	Fluoxetine	Clarithromycin	0.000728659413670659
60-64	Female	Fluoxetine	Clarithromycin	0.00076289954138839
65-69	Female	Fluoxetine	Clarithromycin	0.000586350148367952
70-74	Female	Fluoxetine	Clarithromycin	0.000390926418960698
75-79	Female	Fluoxetine	Clarithromycin	0.000347000682807795
80-84	Female	Fluoxetine	Clarithromycin	0.000270241394696984
85-89	Female	Fluoxetine	Clarithromycin	0.000261062524474612
>90	Female	Fluoxetine	Clarithromycin	0.000236895094955451
