age_group	gender	name_i	name_j	patient
00-04	Female	Methotrexate	Benzylpenicillin	0
05-09	Female	Methotrexate	Benzylpenicillin	0
10-14	Female	Methotrexate	Benzylpenicillin	0
15-19	Female	Methotrexate	Benzylpenicillin	0
20-24	Female	Methotrexate	Benzylpenicillin	0
25-29	Female	Methotrexate	Benzylpenicillin	0
30-34	Female	Methotrexate	Benzylpenicillin	0
35-39	Female	Methotrexate	Benzylpenicillin	0
40-44	Female	Methotrexate	Benzylpenicillin	0
45-49	Female	Methotrexate	Benzylpenicillin	0
50-54	Female	Methotrexate	Benzylpenicillin	0
55-59	Female	Methotrexate	Benzylpenicillin	0
60-64	Female	Methotrexate	Benzylpenicillin	2.1797129753954e-06
65-69	Female	Methotrexate	Benzylpenicillin	0
70-74	Female	Methotrexate	Benzylpenicillin	0
75-79	Female	Methotrexate	Benzylpenicillin	0
80-84	Female	Methotrexate	Benzylpenicillin	0
85-89	Female	Methotrexate	Benzylpenicillin	0
>90	Female	Methotrexate	Benzylpenicillin	0
