age_group	gender	name_i	name_j	patient
00-04	Female	Methotrexate	Ketoprofen	0
05-09	Female	Methotrexate	Ketoprofen	0
10-14	Female	Methotrexate	Ketoprofen	0
15-19	Female	Methotrexate	Ketoprofen	0
20-24	Female	Methotrexate	Ketoprofen	0
25-29	Female	Methotrexate	Ketoprofen	0
30-34	Female	Methotrexate	Ketoprofen	0
35-39	Female	Methotrexate	Ketoprofen	1.70016559612906e-06
40-44	Female	Methotrexate	Ketoprofen	1.75817065859315e-06
45-49	Female	Methotrexate	Ketoprofen	5.66916992014029e-06
50-54	Female	Methotrexate	Ketoprofen	0
55-59	Female	Methotrexate	Ketoprofen	2.09988303651487e-06
60-64	Female	Methotrexate	Ketoprofen	4.3594259507908e-06
65-69	Female	Methotrexate	Ketoprofen	0
70-74	Female	Methotrexate	Ketoprofen	2.55507463373005e-06
75-79	Female	Methotrexate	Ketoprofen	0
80-84	Female	Methotrexate	Ketoprofen	0
85-89	Female	Methotrexate	Ketoprofen	0
>90	Female	Methotrexate	Ketoprofen	0
