age_group	gender	name_i	name_j	patient
00-04	Female	Oxytetracycline	Amoxicillin	0
05-09	Female	Oxytetracycline	Amoxicillin	0
10-14	Female	Oxytetracycline	Amoxicillin	0
15-19	Female	Oxytetracycline	Amoxicillin	0
20-24	Female	Oxytetracycline	Amoxicillin	2.79172866630746e-06
25-29	Female	Oxytetracycline	Amoxicillin	0
30-34	Female	Oxytetracycline	Amoxicillin	1.8376711560973e-06
35-39	Female	Oxytetracycline	Amoxicillin	0
40-44	Female	Oxytetracycline	Amoxicillin	5.27451197577944e-06
45-49	Female	Oxytetracycline	Amoxicillin	3.77944661342686e-06
50-54	Female	Oxytetracycline	Amoxicillin	0
55-59	Female	Oxytetracycline	Amoxicillin	0
60-64	Female	Oxytetracycline	Amoxicillin	0
65-69	Female	Oxytetracycline	Amoxicillin	0
70-74	Female	Oxytetracycline	Amoxicillin	0
75-79	Female	Oxytetracycline	Amoxicillin	0
80-84	Female	Oxytetracycline	Amoxicillin	0
85-89	Female	Oxytetracycline	Amoxicillin	0
>90	Female	Oxytetracycline	Amoxicillin	6.58041930431807e-06
