age_group	gender	name_i	name_j	patient
00-04	Male	Donepezil	Doxepin	0
05-09	Male	Donepezil	Doxepin	0
10-14	Male	Donepezil	Doxepin	0
15-19	Male	Donepezil	Doxepin	0
20-24	Male	Donepezil	Doxepin	0
25-29	Male	Donepezil	Doxepin	0
30-34	Male	Donepezil	Doxepin	0
35-39	Male	Donepezil	Doxepin	0
40-44	Male	Donepezil	Doxepin	0
45-49	Male	Donepezil	Doxepin	0
50-54	Male	Donepezil	Doxepin	0
55-59	Male	Donepezil	Doxepin	0
60-64	Male	Donepezil	Doxepin	0
65-69	Male	Donepezil	Doxepin	0
70-74	Male	Donepezil	Doxepin	0
75-79	Male	Donepezil	Doxepin	0
80-84	Male	Donepezil	Doxepin	8.99697251874744e-06
85-89	Male	Donepezil	Doxepin	6.76681553660847e-06
>90	Male	Donepezil	Doxepin	0
