age_group	gender	name_i	name_j	patient
00-04	Male	Felodipine	Josamycin	0
05-09	Male	Felodipine	Josamycin	0
10-14	Male	Felodipine	Josamycin	0
15-19	Male	Felodipine	Josamycin	0
20-24	Male	Felodipine	Josamycin	0
25-29	Male	Felodipine	Josamycin	0
30-34	Male	Felodipine	Josamycin	0
35-39	Male	Felodipine	Josamycin	0
40-44	Male	Felodipine	Josamycin	0
45-49	Male	Felodipine	Josamycin	0
50-54	Male	Felodipine	Josamycin	0
55-59	Male	Felodipine	Josamycin	2.3477485091797e-06
60-64	Male	Felodipine	Josamycin	0
65-69	Male	Felodipine	Josamycin	0
70-74	Male	Felodipine	Josamycin	0
75-79	Male	Felodipine	Josamycin	3.50926445816957e-06
80-84	Male	Felodipine	Josamycin	0
85-89	Male	Felodipine	Josamycin	0
>90	Male	Felodipine	Josamycin	0
