age_group	gender	name_i	name_j	patient
00-04	Male	Fluconazole	Haloperidol	0
05-09	Male	Fluconazole	Haloperidol	0
10-14	Male	Fluconazole	Haloperidol	0
15-19	Male	Fluconazole	Haloperidol	0
20-24	Male	Fluconazole	Haloperidol	0
25-29	Male	Fluconazole	Haloperidol	5.37599724748941e-06
30-34	Male	Fluconazole	Haloperidol	2.11126359125937e-06
35-39	Male	Fluconazole	Haloperidol	5.53277894888265e-06
40-44	Male	Fluconazole	Haloperidol	1.12020761181072e-05
45-49	Male	Fluconazole	Haloperidol	2.03608347127799e-05
50-54	Male	Fluconazole	Haloperidol	3.52078583939935e-05
55-59	Male	Fluconazole	Haloperidol	4.46072216744142e-05
60-64	Male	Fluconazole	Haloperidol	6.31601449768251e-05
65-69	Male	Fluconazole	Haloperidol	7.67916959048842e-05
70-74	Male	Fluconazole	Haloperidol	8.56903093124682e-05
75-79	Male	Fluconazole	Haloperidol	0.000119314991577765
80-84	Male	Fluconazole	Haloperidol	0.000197933395412444
85-89	Male	Fluconazole	Haloperidol	0.000250372174854513
>90	Male	Fluconazole	Haloperidol	0.000470387628805362
