age_group	gender	name_i	name_j	patient
00-04	Male	Irbesartan	Drospirenone	0
05-09	Male	Irbesartan	Drospirenone	0
10-14	Male	Irbesartan	Drospirenone	0
15-19	Male	Irbesartan	Drospirenone	0
20-24	Male	Irbesartan	Drospirenone	0
25-29	Male	Irbesartan	Drospirenone	0
30-34	Male	Irbesartan	Drospirenone	0
35-39	Male	Irbesartan	Drospirenone	0
40-44	Male	Irbesartan	Drospirenone	0
45-49	Male	Irbesartan	Drospirenone	0
50-54	Male	Irbesartan	Drospirenone	0
55-59	Male	Irbesartan	Drospirenone	0
60-64	Male	Irbesartan	Drospirenone	2.4292363452625e-06
65-69	Male	Irbesartan	Drospirenone	0
70-74	Male	Irbesartan	Drospirenone	2.95483825215408e-06
75-79	Male	Irbesartan	Drospirenone	0
80-84	Male	Irbesartan	Drospirenone	0
85-89	Male	Irbesartan	Drospirenone	0
>90	Male	Irbesartan	Drospirenone	0
