age_group	gender	name_i	name_j	patient
00-04	Male	Lovastatin	Bezafibrate	0
05-09	Male	Lovastatin	Bezafibrate	0
10-14	Male	Lovastatin	Bezafibrate	0
15-19	Male	Lovastatin	Bezafibrate	0
20-24	Male	Lovastatin	Bezafibrate	0
25-29	Male	Lovastatin	Bezafibrate	0
30-34	Male	Lovastatin	Bezafibrate	0
35-39	Male	Lovastatin	Bezafibrate	0
40-44	Male	Lovastatin	Bezafibrate	0
45-49	Male	Lovastatin	Bezafibrate	2.03608347127799e-06
50-54	Male	Lovastatin	Bezafibrate	0
55-59	Male	Lovastatin	Bezafibrate	0
60-64	Male	Lovastatin	Bezafibrate	0
65-69	Male	Lovastatin	Bezafibrate	2.64798951396152e-06
70-74	Male	Lovastatin	Bezafibrate	2.95483825215408e-06
75-79	Male	Lovastatin	Bezafibrate	1.05277933745087e-05
80-84	Male	Lovastatin	Bezafibrate	1.34954587781212e-05
85-89	Male	Lovastatin	Bezafibrate	1.35336310732169e-05
>90	Male	Lovastatin	Bezafibrate	1.46996134001676e-05
