age_group	gender	name_i	name_j	patient
00-04	Male	Methotrexate	Tetracycline	0
05-09	Male	Methotrexate	Tetracycline	0
10-14	Male	Methotrexate	Tetracycline	0
15-19	Male	Methotrexate	Tetracycline	0
20-24	Male	Methotrexate	Tetracycline	0
25-29	Male	Methotrexate	Tetracycline	0
30-34	Male	Methotrexate	Tetracycline	2.11126359125937e-06
35-39	Male	Methotrexate	Tetracycline	0
40-44	Male	Methotrexate	Tetracycline	0
45-49	Male	Methotrexate	Tetracycline	0
50-54	Male	Methotrexate	Tetracycline	0
55-59	Male	Methotrexate	Tetracycline	0
60-64	Male	Methotrexate	Tetracycline	2.4292363452625e-06
65-69	Male	Methotrexate	Tetracycline	0
70-74	Male	Methotrexate	Tetracycline	0
75-79	Male	Methotrexate	Tetracycline	0
80-84	Male	Methotrexate	Tetracycline	0
85-89	Male	Methotrexate	Tetracycline	0
>90	Male	Methotrexate	Tetracycline	0
